Name: CCTV-4, URL: https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV-4, URL: https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$订阅源, Date: None, Resolution: 426x240, Response Time: 125 ms
Name: CHC家庭影院, URL: http://api3.52tb.xyz/info?id=220&token=20221127jxwhhemby$订阅源, Date: None, Resolution: 1920x1080, Response Time: 1 ms
Name: CHC家庭影院, URL: http://api2.52tb.xyz/info?id=220&token=20230218jsyklh$订阅源, Date: None, Resolution: 1920x1080, Response Time: 1 ms
Name: CHC家庭影院, URL: http://148.135.93.213/live.php?id=CHC家庭影院$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CHC家庭影院, URL: http://gat.bkpcp.top/ymg.php?id=jtyy$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CHC家庭影院, URL: https://www.freetv.top/migu/644368373.m3u8?migutoken=893aa32f9d861d92c0661b8125e5b12471106642e4d0f341956e45e2f60dbb2179c3b5b6f05c2e8242e24d254815578255456ce991c2d337b226ce49c025efe16f2d4715157e642b7447f0bf06$订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: CCTV-1, URL: https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV-1, URL: http://z.b.bkpcp.top/m.php?id=cctv1$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV-1, URL: http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV-1, URL: http://goo.bkpcp.top/mg/cctv1$订阅源, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV-1, URL: http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1$订阅源, Date: None, Resolution: 854x480, Response Time: 125 ms
Name: CHC动作电影, URL: http://119.32.12.17:2901/udp/224.1.100.131:11111$订阅源, Date: None, Resolution: 1920x1080, Response Time: 11 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$订阅源, Date: None, Resolution: None, Response Time: 480 ms
Name: CCTV-1, URL: http://120.76.248.139/live/bfgd/4200000488.m3u8$订阅源, Date: None, Resolution: None, Response Time: 547 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源, Date: None, Resolution: None, Response Time: 480 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源, Date: None, Resolution: None, Response Time: 480 ms
Name: CCTV-1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1117 ms
Name: CCTV-1, URL: http://121.33.239.242:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1042 ms
Name: CCTV-1, URL: http://61.138.128.226:19901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 456 ms
Name: CCTV-1, URL: http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8$订阅源, Date: None, Resolution: None, Response Time: 448 ms
